Ticker;Company_Name
B3SA3; B3 S.A. - Brasil, Bolsa, Balcão
BBAS3; Banco do Brasil S.A.
BBDC3; Banco Bradesco S.A.
BBDC4; Banco Bradesco S.A.
BBSE3; BB Seguridade Participações S.A.
BEEF3; Minerva S.A.
BPAC11; Banco BTG Pactual S.A.
BRAP4; Bradespar S.A.
BRFS3; BRF S.A.
BRKM5; Braskem S.A.
CCRO3; CCR S.A.
CIEL3; Cielo S.A.
CMIG4; Cemig - Companhia Energética de Minas Gerais
COGN3; Cogna Educação S.A.
CPFE3; CPFL Energia S.A.
CRFB3; Carrefour Brasil Comércio e Indústria Ltda.
CSAN3; Cosan S.A.
CSNA3; Companhia Siderúrgica Nacional
CVCB3; CVC Brasil Operadora e Agência de Viagens S.A.
CYRE3; Cyrela Brazil Realty S.A. Empreendimentos e Participações
ECOR3; Ecorodovias Infraestrutura e Logística S.A.
EGIE3; Engie Brasil Energia S.A.
ELET3; Centrais Elétricas Brasileiras S.A.
ELET6; Centrais Elétricas Brasileiras S.A.
EMBR3; Embraer S.A.
ENBR3; EDP - Energias do Brasil S.A.
EQTL3; Equatorial Energia S.A.
EZTC3; EZTEC Empreendimentos e Participações S.A.
FLRY3; Fleury S.A.
GGBR4; Gerdau S.A.
GOAU4; Metalúrgica Gerdau S.A.
GOLL4; Gol Linhas Aéreas Inteligentes S.A.
HAPV3; Hapvida Participações e Investimentos S.A.
HYPE3; Hypera S.A.
IRBR3; IRB Brasil Resseguros S.A.
ITSA4; Itaúsa - Investimentos Itaú S.A.
ITUB4; Itaú Unibanco Holding S.A.
JBSS3; JBS S.A.
KLBN11; Klabin S.A.
AMER3; Lojas Americanas S.A.
LREN3; Lojas Renner S.A.
MGLU3; Magazine Luiza S.A.
MRFG3; Marfrig Global Foods S.A.
MRVE3; MRV Engenharia e Participações S.A.
MULT3; Multiplan Empreendimentos Imobiliários S.A.
NTCO3; Natura &Co Holding S.A.
PCAR3; GPA S
WEGE3; WEG S.A.
